first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,defcon_actions,defcon_actions_per_90,name,season_stats_gw
Bruno,Borges Fernandes,B.Fernandes,Midfielder,MUN,22.371114462179314,27.013697547458868,100.0,100.0,,10.4,48.0,0.0,22.6,235,14,6.7,0.0,0.32,0.36,0.68,,1258.0,1938.5,614.0,381.4,90.0,9,24,7,46,35,9.0,9.0,2.0,1.0,6.0,0.0,5.078285231845589,4.77588010213234,4.276007342494838,4.128410833195938,4.11253095251061,4.642583085279552,,,,,,,9.0,9.0,Man Utd,38
João Pedro,Junqueira de Jesus,João Pedro,Forward,CHE,23.1212136248206,26.44174821647674,75.0,100.0,,7.4,34.8,0.0,23.9,177,1,5.1,0.0,0.5,0.07,0.57,,758.4,456.6,909.0,212.1,90.0,15,9,10,36,31,6.0,6.0,1.0,2.0,3.0,0.0,4.496987311554911,4.9820467553388985,3.740978789952423,4.991133005704651,4.9100677622697155,3.3205345916561373,,,,,,,6.0,6.0,Chelsea,38
Gabriel,dos Santos Magalhães,Gabriel,Defender,ARS,20.700603394023968,25.73559862934828,100.0,100.0,,7.3,45.4,0.0,28.6,209,1,6.5,0.0,0.1,0.06,0.16,,824.0,128.5,298.0,125.0,45.0,3,5,18,20,30,5.0,10.0,0.0,5.0,1.0,0.0,4.294768731232715,5.199986878131088,3.17679730479328,4.010604883016804,4.018445596850081,5.034995235324314,,,,,,,5.0,10.0,Arsenal,38
Virgil,van Dijk,Virgil,Defender,LIV,20.541524404133416,25.259370401756676,,,,6.1,31.5,0.0,28.7,175,2,4.6,0.0,0.1,0.04,0.14,,1169.4,215.9,490.0,187.6,90.0,6,1,10,53,38,6.0,6.0,0.0,6.0,2.0,0.0,4.152342795686128,3.8867935226104895,4.459046244414351,4.249025157514463,3.794316683907982,4.717845997623261,,,,,,,6.0,6.0,Liverpool,38
Igor Thiago,Nascimento Rodrigues,Thiago,Forward,BRE,20.969019816683385,25.072292727171703,100.0,100.0,,7.2,30.2,0.0,25.1,181,2,4.8,0.0,0.56,0.05,0.61,,1019.4,382.5,1170.0,256.9,90.0,22,1,10,50,37,5.0,5.0,2.0,2.0,1.0,0.0,5.503354723505259,4.023475675295277,3.663706060766986,3.8655434975383356,3.912939859577528,4.103272910488318,,,,,,,5.0,5.0,Brentford,38
Dominik,Szoboszlai,Szoboszlai,Midfielder,LIV,20.351353006757154,24.33136263101595,100.0,100.0,,7.1,15.1,0.0,22.5,160,2,4.4,0.0,0.13,0.19,0.32,,867.8,1324.6,417.0,260.9,90.0,6,7,9,52,36,9.0,9.0,3.0,1.0,5.0,0.0,4.019795088289179,4.553838625463293,3.71760587470888,4.439801801996094,3.6203116162997078,3.9800096242587957,,,,,,,9.0,9.0,Liverpool,38
Antoine,Semenyo,Semenyo,Midfielder,MCI,19.33817938408594,23.939507259524653,100.0,100.0,,8.0,46.2,0.0,25.2,202,6,5.5,0.0,0.31,0.09,0.4,,923.2,607.4,1047.0,257.7,57.0,17,6,12,52,37,2.0,3.1578947368421053,0.0,1.0,1.0,0.0,4.836613362644597,4.1688039867042175,2.9032352130894026,4.264693074964136,3.1648337466835867,4.601327875438715,,,,,,,2.0,3.1578947368421053,Man City,38
Erling,Haaland,Haaland,Forward,MCI,19.625170699581503,23.89838837479595,100.0,100.0,,14.7,62.5,0.0,16.3,239,0,6.8,0.0,0.78,0.08,0.86,,1180.4,320.1,1520.0,302.3,0.0,27,8,13,32,34,0.0,0.0,0.0,0.0,0.0,0.0,2.902937896882364,5.6076303930853815,3.2263714873055385,4.034464181930903,3.853766740377319,4.273217675214447,,,,,,,0.0,0.0,Man City,38
Cole,Palmer,Palmer,Midfielder,CHE,19.59087683758209,23.66083649838037,100.0,100.0,,10.3,12.6,0.0,11.1,114,8,4.4,0.0,0.49,0.11,0.6,,536.6,393.6,547.0,147.7,90.0,10,2,3,33,24,1.0,1.0,0.0,0.0,1.0,0.0,5.154678646382756,3.5530678213433253,3.216273224631913,3.470204436410489,4.196652708813607,4.069959660798281,,,,,,,1.0,1.0,Chelsea,38
Tomáš,Souček,Souček,Midfielder,WHU,20.498416910606643,23.629341737089774,100.0,100.0,,5.7,0.5,0.0,18.1,103,3,2.9,0.0,0.24,0.02,0.26,,526.6,191.9,483.0,120.4,90.0,5,2,7,43,24,8.0,8.0,0.0,5.0,3.0,0.0,4.705250827029618,4.096307059362305,3.3189270964428323,4.758309254270118,3.6196226735017714,3.13092482648313,,,,,,,8.0,8.0,West Ham,38
